ACHADO,TIPO_ACHADO
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto básico/executivo deficiente ou inexistente - O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Fragilidade ou deficiência na execução de contratos do RDC.,Outras irregularidades na execução do contrato
Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Movimentação irregular da conta específica do convênio.,Irregularidades na execução do convênio
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Inexistência de controles pelo município de Boa Vista/RR quanto à retirada e descarte de material da obra (bota-fora) pela empresa contratada.,Irregularidades na execução do convênio
Não foram apresentadas justificativas técnicas e econômicas para adoção do RDCi.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Inexistência de Termo de Recebimento Definitivo do objeto contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Utilização de Projeto Executivo deficiente para a contratação das obras complementares de recuperação da Barragem de Jucazinho,"Projeto inexistente, deficiente ou desatualizado"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
"Inexistência de apuração dos quantitativos dos itens licitados, para elaboração do Termo de Referência, ou estudos que comprovem a necessidade dos itens em eventos que a empresa deverá participar.",Falha na composição dos custos expressos na planilha orçamentária
Irregularidade grave na execução do convênio - Ausência de cláusula(s) essenciais no termo de convênio celebrado.,Irregularidades na formalização do convênio
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
"Projeto básico/executivo deficiente ou inexistente - restrição à competitividade e/ou não-aproveitamento dos recursos disponíveis no mercado, em razão da não-divisão da obra ou serviço em parcelas economicamente viáveis.",Restrição à competitividade do certame
Restrição à competitividade da licitação decorrente de adoção indevida de pré-qualificação e de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Declaração inverídica da Construtora Marcos e Danival Ltda., ",Divergência entre o contrato e o ato convocatório
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Inexistência de critérios de reajustamento de preços na licitação.,Irregularidades na elaboração do ato convocatório
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Cobrança indevida de despesas bancárias.,Irregularidades na execução do convênio
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Aceitação pela Chesf de proposta com composição de custos unitários indicados mediante unidades genéricas (verba).,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Licença Prévia da obra vencida.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Utilização de atestado emitido pela própria licitante,Irregularidades na habilitação e qualificação da licitante
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Execução/pagamento de serviços não previstos no contrato - Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Existência de outros indicadores de viabilidade econômico-financeiro desfavoráveis.,Inviabilidade do projeto
Deficiências quanto ao monitoramento e fiscalização da aplicação dos recursos do Pnae por parte do Conselho de Alimentação Escolar (CAE) (Camocim/CE e Eusébio/CE),Gestão temerária
"Inexistência de EIA/RIMA, embora necessários à obra.","Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Diversas irregularidades no RDC da LT Rio Branco  Feijó,Restrição à competitividade do certame
Interpretação do disposto no caput do art. 35 da IN Secom/PR 9/2014 em desconformidade com a jurisprudência consolidada no Acórdão 2.914/2015-TCU-Plenário.,Fiscalização contratual inexistente ou deficiente
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Objeto do convênio/edital/contrato sem funcionalidade própria.,Inviabilidade do projeto
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto executivo ou projeto executivo desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Falhas no recebimento provisório do contrato dos projetos,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
AMÉLIA RODRIGUES - Pagamento de honorários advocatícios com recursos dos precatórios do Fundef.,Liquidação e/ou pagamento irregular da despesa
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Entradas de medicamentos sem a adequada comprovação. (Barcarena).,Outras irregularidades na execução do contrato
Demais Irregularidades na Administração do Contrato - Inexistência de Termo de Recebimento Definitivo do Objeto Contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Falhas no acompanhamento da execução contratual,Fiscalização contratual inexistente ou deficiente
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
"Falha formal em edital relativa a Exigência de comprovação de quadro permanente sem permitir contrato de prestação	de serviços (Item 3.1.7 do relatório	de acompanhamento)

",Irregularidades na elaboração do ato convocatório
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Atrasos no cronograma de execução de serviços.,Descumprimento do cronograma físico-financeiro do objeto
Gestão temerária de empreendimento.,Gestão temerária
Fuga à licitação por meio de inclusão de objeto estranho ao licitado.,Contratação direta indevida ou não justificada
324/2016 - Utilização de pregão presencial em detrimento do eletrônico,Irregularidades na elaboração do ato convocatório
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Achado A.12. Contrato C1/03/004: Contratação sem fundamentação em orçamento detalhado em planilhas que expressem a composição de todos os seus custos unitários.,Metodologia inadequada para definição do orçamento do objeto
"Rompimento da laje de fundo do canal, na região da ponte da Avenida Castelo Branco",Fiscalização contratual inexistente ou deficiente
Ausência de informações no Siconv Moju/PA,Ausência ou inadequação das prestações de contas do convênio
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Ata de registro de preços com validade superior a doze meses. (Barcarena).,Outras irregularidades na execução do contrato
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Plano de ação para garantir o regular cumprimento de suas atribuições de orientação, fiscalização e acompanhamento do crédito instalação inexistente ou deficiente.",Descumprimento de determinação do TCU
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Perdas econômicas e sociais em face da não execução concomitante de serviços essenciais à funcionalidade da obra.,Ausência de efetividade da obra
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Falta de parcelamento do objeto que por sua natureza deveria ter sido licitado separadamente,Irregularidades na elaboração do ato convocatório
Não encaminhamento dos documentos descritos no art. 4º da IN TCU 70/2012,Irregularidades na condução do procedimento licitatório
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Adoção inadequada de modalidade de licitação,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Irregularidade grave na execução do convênio - Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Falha na exigência da garantia contratual.,Garantia contratual inexistente
Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
"Atesto de fornecimento de bens, prestação de serviços, realização de obras em desacordo com o efetivamente executado.",Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Boas práticas adotadas no controle fotográfico da obra,Fiscalização contratual inexistente ou deficiente
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Conduta antieconômica.,Irregularidades na execução do convênio
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Julgamento irregular de recursos interpostos durante a licitação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Carência de medidas adequadas na construção da Ferrovia Integração Oeste Leste diante da escassez de recursos.,Gestão temerária
Superfaturamento quantitativo,Superfaturamento
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Atrasos decorrentes de insuficiência de recursos financeiros para a quitação dos compromissos assumidos.,Descumprimento do cronograma físico-financeiro do objeto
Obra entregue sem estar devidamente concluída.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Parcelamento de objeto sem comprovação de viabilidade técnica e econômica,Irregularidades na elaboração do ato convocatório
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
Falta de designação de nutricionista como responsável técnico para execução do Pnae (Camocim/CE),Gestão temerária
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Perdas econômicas e sociais em face da não execução concomitante de serviços essenciais à funcionalidade da obra.,Ausência de efetividade da obra
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Orçamento com múltiplas datas-bases,Falha na composição dos custos expressos na planilha orçamentária
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Sobrepreço - Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
A.2.3 - Adoção de inadequada forma de adjudicação (adjudicação por lotes sem critérios),"Adoção de tipo, regime ou modalidade de licitação indevidos"
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Restrição ao caráter competitivo do certame licitatório,Restrição à competitividade do certame
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Desvio de objeto na aplicação dos recursos federais do SUS destinados ao Hospital de Emergência e Trauma Senador Humberto Lucena.,Outras irregularidades na execução do contrato
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Alunos que percorrem mais de 2 km a pé para chegar aos pontos de embarque/desembarque no transporte escolar.,Irregularidades na execução do convênio
Prorrogação injustificada de prazo contratual.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de Uso do Bem,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Falha formal em edital relativa a Exigência para licitante de outro estado, de visto do registro profissional (Item 3.1.6 do relatório de acompanhamento)",Irregularidades na elaboração do ato convocatório
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Projeto básico/executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Pagamento da administração local em percentual superior ao da execução financeira da obra,Cláusulas essenciais imprecisas ou ausentes
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Não publicação do extrato do contrato na imprensa oficial.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Gestão temerária de empreendimento.,Gestão temerária
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Modalidade indevida de licitação.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Gestão temerária de empreendimento.,Gestão temerária
Irregularidades graves na execução do convênio - O convenente não possui os requisitos exigidos pela Instrução Normativa STN nº 1 para a celebração do convênio.,Irregularidades na formalização do convênio
UNA - A.12.1.A - Ausência de equipamentos obrigatórios em veículos utilizados no transporte escolar.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Contratação direta antieconômica.,Contratação direta indevida ou não justificada
UNA - A.2 - Alunos que percorrem mais de 2 km a pé para chegar aos pontos de embarque/desembarque no transporte escolar.,"Projeto inexistente, deficiente ou desatualizado"
Má gestão dos recursos oriundos da alienação de imóvel da entidade.,Gestão temerária
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Omissão em adotar as medidas necessárias ante o atraso na prestação de contas.,Ausência ou inadequação das prestações de contas do convênio
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Não comprovação da execução dos serviços contratados.,Liquidação e/ou pagamento irregular da despesa
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
"Desvio de objeto - alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade)","Aditivos irregulares, injustificados ou não celebrados"
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Obra executada sem alvará de construção.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Sobrepreço decorrente de metodologia executiva inadequada,Sobrepreço
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
"Pagamento antecipado referente ao serviço ""Instalação do Canteiro de Obras"" .",Outras irregularidades na execução do contrato
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Obra iniciada sem Licença de Instalação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Persistentes atrasos nas obras/instalações do Lote C do Leilão de Transmissão 003/2012-Aneel,Descumprimento do cronograma físico-financeiro do objeto
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Subcontratação irregular.,Subcontratação ou subrrogação irregular
"Execução orçamentária irregular - Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
Ausência de designação formal de Fiscal/Gestor do Contrato.,Fiscalização contratual inexistente ou deficiente
Excesso injustificado de despesas na execução de uma das metas do convênio pela entidade convenente.,Irregularidades na execução do convênio
"Descumprimento do princípio orçamentário da legalidade no ano de 2012, bem como a assunção de despesa em 2012 sem lastro no planejamento orçamentário e financeiro para o ano de 2013, com prejuízos ao erário",Dotação orçamentária incompatível com a execução do objeto
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Inexecução parcial do objeto do contrato ,Descumprimento do cronograma físico-financeiro do objeto
Injustificados e/ou excessivos adiantamentos de recursos às contratadas e falta de exigência de garantia contratual específica,Garantia contratual inexistente
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Termo aditivo desacompanhado de discriminação dos serviços/quantidades adicionados.,"Aditivos irregulares, injustificados ou não celebrados"
"Fracionamento irregular do objeto, resultando em fuga ao procedimento licitatório.",Contratação direta indevida ou não justificada
Contratação antieconômica,Outras irregularidades na execução do contrato
Restrição à competitividade da licitação decorrente de adoção indevida de pré-qualificação.,Restrição à competitividade do certame
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Obras realizadas em terrenos não desapropriados (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Existência de atrasos que comprometeram o prazo de entrega do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
Termo aditivo desacompanhado de discriminação dos serviços/quantidades adicionados.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
"Indícios de realização de despesas antieconômicas na execução de contrato firmado entre o CPB e a empresa Daher Turismo Ltda., agência de viagens e serviços conexos.",Liquidação e/ou pagamento irregular da despesa
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
A17 - Irregularidades nos procedimentos licitatórios/processos de contratação direta do transporte escolar.,Irregularidades na elaboração do ato convocatório
"Utilização de materiais, equipamentos ou métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
"Há contratos do tipo ""guarda-chuva"", com objeto amplo ou não definido.",Cláusulas essenciais imprecisas ou ausentes
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Descompasso temporal entre os contratos de fiscalização e de execução das obras.,Descumprimento do cronograma físico-financeiro do objeto
Ausência de ART do projeto executivo.,Ausência de ART do projeto
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Acréscimos ou supressões em percentual superior ao legalmente permitido,"Aditivos irregulares, injustificados ou não celebrados"
A classe da rodovia não está de acordo com a demandada pelo tráfego atual.,"Projeto inexistente, deficiente ou desatualizado"
Pagamento contratual do Seguro de Risco de Engenharia superior ao valor efetivamente pago pelo consórcio construtor.,Liquidação e/ou pagamento irregular da despesa
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Deficiências na planilha orçamentária utilizada na licitação,Falha na composição dos custos expressos na planilha orçamentária
